task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1089	2b/495008	47091	AncestralAllele (54)	COMPLETED	0	2024-06-12 23:24:25.858	2.2s	1.1s	104.8%	11.1 MB	20 MB	10.4 MB	14.3 KB
1091	b3/11bd9d	47127	AncestralAllele (56)	COMPLETED	0	2024-06-12 23:24:27.634	2.1s	1.2s	105.1%	105.1 MB	121 MB	10.4 MB	14.9 KB
1092	21/518ee6	47147	AncestralAllele (57)	COMPLETED	0	2024-06-12 23:24:28.011	1.9s	1s	104.1%	10.9 MB	19.8 MB	8.3 MB	14.6 KB
1094	78/844fa1	47186	AncestralAllele (59)	COMPLETED	0	2024-06-12 23:24:29.923	1.9s	929ms	101.7%	11.4 MB	20.2 MB	6.7 MB	14.1 KB
1093	52/a921ef	47166	AncestralAllele (58)	COMPLETED	0	2024-06-12 23:24:29.761	2s	1.1s	107.0%	11 MB	19.9 MB	8.3 MB	14.6 KB
1096	3b/bc55f9	47220	AncestralAllele (61)	COMPLETED	0	2024-06-12 23:24:31.810	1.9s	967ms	103.5%	11.4 MB	20.2 MB	6.7 MB	14.1 KB
1095	5d/4bda11	47213	AncestralAllele (60)	COMPLETED	0	2024-06-12 23:24:31.777	2s	1s	105.2%	11.2 MB	19.9 MB	8.3 MB	14.6 KB
1098	1d/eef7c8	47269	AncestralAllele (63)	COMPLETED	0	2024-06-12 23:24:33.766	2s	1.1s	102.6%	11.4 MB	20.2 MB	8.3 MB	14.6 KB
1097	d2/94511d	47252	AncestralAllele (62)	COMPLETED	0	2024-06-12 23:24:33.683	2.1s	1.1s	104.2%	11 MB	19.9 MB	8.3 MB	14.6 KB
1100	f1/7bb0f4	47307	AncestralAllele (65)	COMPLETED	0	2024-06-12 23:24:35.800	1.8s	915ms	102.6%	11 MB	19.6 MB	6.7 MB	14 KB
1099	f6/5d3f2d	47300	AncestralAllele (64)	COMPLETED	0	2024-06-12 23:24:35.768	2.4s	1.2s	103.4%	106.4 MB	122.6 MB	10.4 MB	15.1 KB
1101	52/1b0f23	47336	AncestralAllele (66)	COMPLETED	0	2024-06-12 23:24:37.615	2.2s	959ms	105.1%	11.6 MB	20.2 MB	6.7 MB	14 KB
1102	9c/1235df	47357	AncestralAllele (67)	COMPLETED	0	2024-06-12 23:24:38.142	1.9s	874ms	102.5%	11.6 MB	20.2 MB	6.7 MB	14.1 KB
1103	ee/6a95e9	47375	AncestralAllele (68)	COMPLETED	0	2024-06-12 23:24:39.783	1.8s	981ms	106.7%	10.9 MB	19.5 MB	6.7 MB	14 KB
1104	5b/dd11e5	47395	AncestralAllele (69)	COMPLETED	0	2024-06-12 23:24:40.039	1.8s	884ms	105.7%	11.8 MB	20.3 MB	6.7 MB	14 KB
1105	20/070b9e	47413	AncestralAllele (70)	COMPLETED	0	2024-06-12 23:24:41.615	1.9s	990ms	102.0%	3.5 MB	7.2 MB	6.7 MB	14 KB
1106	56/2ec098	47433	AncestralAllele (71)	COMPLETED	0	2024-06-12 23:24:41.811	1.8s	883ms	104.4%	11.4 MB	20.2 MB	6.7 MB	14 KB
1107	9a/4e96cc	47453	AncestralAllele (72)	COMPLETED	0	2024-06-12 23:24:43.498	1.8s	934ms	103.9%	10.9 MB	19.8 MB	6.7 MB	14 KB
